location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Employee/Residential Population Ratio (per 100 Residents),Latitude,Longitude,Walkscore,distance_to_park,distance_to_transit_station,distance_to_bike_station
"Nassau Avenue, New York, New York",5836,4291,354,1789,1692,6059,921,1463,2614,391,615,346,2074,24,40.724635,-73.951277,99,0.3 km,60 m,8 m
"Neck Road, New York, New York",317,232,42,398,63,561,640,377,257,247,137,3,274,22,40.595246,-73.955161,94,0.4 km,9 m,9 m
"Neptune Avenue, New York, New York",1706,1493,414,1331,717,4850,2476,7079,1156,751,204,39,1531,14,40.5810109,-73.974574,88,0.3 km,17 m,17 m
"Nereid Avenue, New York, New York",1583,858,261,617,423,1999,1384,1267,927,607,332,23,1554,49,40.8984462,-73.8543357,89,0.5 km,2 m,2 m
"Nevins Street, New York, New York",4350,2656,221,5343,1714,13090,14604,12678,5609,11399,2001,1338,8379,18,40.6887102,-73.9808138,99,0.2 km,45 m,0.1 km
"Newkirk Avenue–Little Haiti, New York, New York",1518,1073,520,2315,824,11168,3024,3156,1676,311,337,93,2566,19,40.6399641,-73.9483922,92,0.2 km,1 m,1 m
"Newkirk Plaza, New York, New York",2528,1576,314,3150,1051,11495,4150,4897,1892,352,542,79,2981,24,40.6349745,-73.9627764,90,0.4 km,2 m,2 m
"New Lots Avenue, New York, New York",2163,2210,563,1807,653,2705,3146,13259,1235,719,98,46,1885,309,40.6662999,-73.8837211,81,92 m,,
"Ninth Avenue, New York, New York",30043,19012,640,57022,3230,216463,13667,22640,27083,3313,14950,7773,37091,26,43.0626979,-74.3358807,64,0.6 km,2.1 km,0.1 km
"Northern Boulevard, New York, New York",505,158,464,252,74,1382,1462,893,504,84,88,8,716,10,40.7530794,-73.9062074,90,0.1 km,0.1 km,27 m
"Norwood Avenue, New York, New York",815,615,291,623,544,1463,2351,1500,933,530,174,20,1318,17,40.6817017,-73.8790759,83,0.4 km,1 m,1 m
"Norwood–205th Street, New York, New York",463,183,46,573,290,1792,1286,1549,886,18,180,245,778,16,40.873792,-73.876684,85,0.1 km,78 m,36 m
"Nostrand Avenue, New York, New York",1979,1015,315,1443,892,5482,4396,7818,2614,741,690,113,4548,19,40.6698674,-73.9505172,97,0.6 km,34 m,34 m
"Ocean Parkway, New York, New York",2373,1922,385,2673,832,5626,5182,5459,1497,151,160,123,2667,28,40.576312,-73.968501,94,0.2 km,,
"Ozone Park–Lefferts Boulevard, New York, New York",545,773,42,293,174,859,476,438,1425,364,572,238,438,14,40.6859461,-73.8258664,93,1.1 km,6 m,6 m
"Parkchester, New York, New York",1802,1125,572,1645,745,3458,2452,4837,1934,542,315,23,2028,13,40.8389893,-73.8604128,96,0.2 km,40 m,3 m
"Parkside Avenue, New York, New York",965,934,209,1842,820,4155,2565,3383,1749,187,926,53,2821,326,40.655292,-73.961495,93,0.2 km,,
"Park Place, New York, New York",14231,6801,2290,19481,2212,249518,13482,21021,17118,27323,7557,4482,32461,39,40.7132181,-74.0091645,100,43 m,7 m,7 m
"Parsons Boulevard, New York, New York",7192,1257,328,2161,918,5935,1714,6152,2026,657,265,517,3168,20,40.707564,-73.803326,97,0.2 km,2 m,2 m
"Pelham Bay Park, New York, New York",28,6,5,4,0,58,0,11,59,327,123,0,22,22,40.852548,-73.827938,87,0.8 km,37 m,9 m
"Pelham Parkway, New York, New York",1610,392,305,840,515,2760,2946,7964,1328,653,812,9,1995,20,40.857229,-73.8676281,94,0.3 km,1 m,1 m
"Pennsylvania Avenue, New York, New York",874,1075,224,2591,574,1555,1107,1590,1404,1146,34,20,684,20,40.6646501,-73.894767,86,0.2 km,66 m,47 m
"President Street–Medgar Evers College, New York, New York",1700,962,273,1542,932,5341,5240,11860,2351,963,1210,108,4618,143,40.6680739,-73.9506525,96,0.5 km,1 m,1 m
"Prince Street, New York, New York",15128,5898,836,24905,3755,104220,26304,15190,26633,11242,10267,3863,23487,20,40.724329,-73.997702,100,0.3 km,1 m,1 m
"Prospect Avenue, New York, New York",1980,828,340,2149,915,3794,7311,6392,2188,874,956,121,2576,18,40.665414,-73.992872,98,0.3 km,3 m,3 m
"Prospect Park, New York, New York",900,714,116,1748,655,4836,3417,8344,1791,245,1393,44,2383,65,40.661614,-73.9622459,93,0.2 km,0.3 km,0.1 km
"Queensboro Plaza, New York, New York",12522,7506,998,3770,717,10495,3450,3506,2314,1840,962,732,3894,65,40.750607,-73.9402599,97,0.5 km,1 m,1 m
"Queens Plaza, New York, New York",13046,7779,1128,4099,697,10900,3610,3759,2888,1767,1024,704,4101,13,40.7491009,-73.9372155,98,0.2 km,28 m,28 m
"Ralph Avenue, New York, New York",1357,1491,137,1303,906,5313,4713,3825,2330,1267,392,137,3213,387,40.6788802,-73.9216651,88,0.3 km,15 m,1 m
"Rector Street, New York, New York",9714,4909,2196,10800,1468,220842,11630,17612,10749,26512,4042,3249,28451,16,40.70722,-74.013342,100,60 m,0.1 km,0.1 km
"Rockaway Avenue, New York, New York",2215,1765,440,1298,557,4678,3031,3737,1620,1401,205,72,2211,12,40.6782698,-73.910782,89,0.1 km,22 m,1 m
"Rockaway Boulevard, New York, New York",2362,998,413,1087,832,2203,2561,1863,1468,176,202,33,1468,22,40.6804488,-73.8437863,95,33 m,4 m,4 m
"Rockaway Park–Beach 116th Street, New York, New York",304,82,39,173,127,626,754,949,248,74,37,20,216,46,40.5807608,-73.8361477,85,0.6 km,0.6 km,0.7 km
"Roosevelt Island, New York, New York",5443,3879,586,7163,1953,17815,6015,32245,6547,883,1902,880,7639,15,40.7592379,-73.9593111,97,65 m,17 m,18 m
"Saratoga Avenue, New York, New York",1977,1656,313,1377,642,5162,3273,3372,1959,1567,243,85,2383,30,40.6614669,-73.9162746,84,0.4 km,20 m,6 m
"Second Avenue, New York, New York",2092,1368,329,3281,921,7412,5627,10723,3554,5955,1027,113,7046,21,42.7815578,-73.928904,49,0.5 km,5.1 km,39 m
"Seneca Avenue, New York, New York",4341,5485,551,1335,1509,2960,3442,2589,1444,902,84,43,2090,455,40.7028171,-73.9076756,93,0.3 km,1 m,1 m
"Seventh Avenue, New York, New York",57388,39466,1170,84219,3797,551687,18184,39693,45520,6539,25585,21195,61564,22,40.76287095,-73.98252421,99,0.4 km,5 m,2 m
"Sheepshead Bay, New York, New York",1918,1279,451,1438,688,6291,2886,4210,1655,379,124,51,1878,13,40.5912161,-73.9445822,90,0.2 km,0.3 km,0.1 km
"Shepherd Avenue, New York, New York",2005,1910,393,918,735,2421,2515,3470,1093,793,181,37,1641,22,40.6740912,-73.8808063,76,0.2 km,1 m,1 m
"Simpson Street, New York, New York",4342,5222,663,1588,1830,3408,4879,8101,1733,954,106,46,2800,31,40.824126,-73.8929633,93,0.2 km,1 m,1 m
"Smith–Ninth Streets, New York, New York",4211,3498,378,2798,963,5280,2714,2788,2660,788,1066,284,2760,427,40.72914525,-73.99507565,100,0.2 km,0.2 km,57 m
"South Ferry-Whitehall Street, New York, New York",8820,3732,2195,8701,1097,200955,8734,14969,7999,23821,3461,2912,26649,196,40.7030869,-74.012994,98,61 m,85 m,9 m
"Spring Street, New York, New York",9081,4940,2258,23265,2694,137150,25140,11614,21372,14430,9065,3101,23883,12,40.7249123,-74.0026845,100,83 m,0.1 km,16 m
"St. Lawrence Avenue, New York, New York",782,3167,137,565,778,853,1907,1164,675,402,25,0,622,27,40.8316162,-73.8672666,96,0.4 km,5 m,1 m
"Steinway Street, New York, New York",4603,2674,1257,3199,931,7505,2497,5241,3903,479,766,59,3132,18,40.7575068,-73.9201758,98,0.3 km,90 m,0.2 km
"Sterling Street, New York, New York",1127,771,178,1536,695,5070,4850,9382,1855,894,1266,38,4059,29,40.6630955,-73.9508689,97,0.1 km,1 m,12 m
"Sutphin Boulevard, New York, New York",2050,2177,749,1999,408,7813,2322,6338,1720,2063,130,230,2299,9,40.70546,-73.810708,95,0.5 km,0.1 km,15 m
"Sutphin Boulevard–Archer Avenue–JFK Airport, New York, New York",518,834,107,321,225,800,1077,774,708,240,85,923,551,18,40.7001994,-73.8088601,95,0.2 km,48 m,47 m
"Sutter Avenue, New York, New York",2011,1657,379,1514,614,2756,3785,13024,1482,1131,222,51,2180,20,40.6648322,-73.9227587,86,0.3 km,3 m,41 m
"Sutter Avenue–Rutland Road, New York, New York",1189,1608,382,1760,846,3262,3571,18754,1851,1272,419,54,2941,30,40.6648322,-73.9227587,86,0.3 km,3 m,41 m
"Third Avenue, New York, New York",2112,1532,329,3694,964,8332,6534,10826,4051,6845,1404,120,7382,30,40.8143702,-73.9208338,95,0.3 km,91 m,14 m
"Third Avenue–138th Street, New York, New York",2112,1532,329,3694,964,8332,6534,10826,4051,6845,1404,120,7382,138,40.8249209,-73.9083423,88,0.2 km,45 m,13 m
"Third Avenue–149th Street, New York, New York",23908,11361,540,36765,4110,138713,29614,57948,29732,2365,10131,5560,27674,560,40.8120839,-73.9041639,85,0.2 km,1 m,1 m
"Times Square–42nd Street, New York, New York",60994,39419,2489,84249,4503,635101,16118,41128,46631,10261,26071,30131,64412,21,40.7552858,-73.9872162,99,0.2 km,22 m,6 m
"Tremont Avenue, New York, New York",355,161,161,1424,886,1305,1515,1618,1019,239,127,46,594,20,40.8504099,-73.905227,92,0.1 km,1 m,1 m
"Union Street, New York, New York",1215,1620,416,1647,826,3074,3610,18759,1858,1200,285,55,2788,16,40.7362396,-73.9887389,100,0.3 km,0.1 km,3 m
"Utica Avenue, New York, New York",1549,1521,201,1418,854,5952,3764,6200,2182,1222,499,113,4208,20,40.679347,-73.9308408,89,72 m,17 m,17 m
"Van Cortlandt Park–242nd Street, New York, New York",633,347,117,963,482,1787,3348,2576,1099,253,422,21,1231,23,40.8894635,-73.898489,89,0.4 km,9 m,9 m
"Van Siclen Avenue, New York, New York",1366,1522,246,2701,594,1595,1055,1167,1371,1215,35,25,714,38,40.6654867,-73.889236,82,0.1 km,20 m,20 m
"Vernon Boulevard–Jackson Avenue, New York, New York",4990,3295,648,3453,1146,11420,4395,26119,3623,537,875,519,5016,18,40.7426919,-73.9540014,98,57 m,8 m,8 m
"Wakefield–241st Street, New York, New York",2404,1356,317,824,418,2340,1690,2324,1048,1247,317,22,2008,360,40.9031569,-73.8506021,82,0.7 km,32 m,70 m
"Wall Street, New York, New York",10031,5117,2235,11483,1586,223548,11933,18151,11788,26606,4613,3386,28961,32,40.7059917,-74.0087767,100,0.2 km,72 m,1 m
"Westchester Square–East Tremont Avenue, New York, New York",1750,1125,593,1221,633,5615,2219,9754,1559,396,182,67,2310,157,40.8400475,-73.8427671,96,52 m,10 m,10 m
"West Eighth Street–New York Aquarium, New York, New York",20557,10000,542,39168,4404,145237,28018,32874,32593,2957,11483,5678,27087,20,40.72914525,-73.99507565,100,0.2 km,0.2 km,57 m
"West Farms Square–East Tremont Avenue, New York, New York",2885,2337,575,2030,1339,4254,11554,14866,2523,878,302,113,3058,151,40.8406659,-73.8796826,87,0.3 km,12 m,12 m
"West Fourth Street–Washington Square, New York, New York",17146,6699,416,35499,3943,120228,25077,17489,29476,3838,11011,4317,23119,20,40.731643,-74.0009941,100,22 m,69 m,20 m
"Whitlock Avenue, New York, New York",3627,4768,529,1348,1464,3081,4434,5186,1540,839,94,43,2330,12,40.8265891,-73.8862747,79,0.4 km,1.8 km,1.8 km
"Wilson Avenue, New York, New York",1448,470,609,542,578,1918,2894,2718,1193,455,63,25,1525,21,40.6885422,-73.9042827,78,1.2 km,1 m,1 m
"Winthrop Street, New York, New York",1240,990,343,1676,851,3231,3927,20037,1725,1000,396,41,2873,20,40.6570982,-73.9502145,95,0.4 km,14 m,14 m
"Woodhaven Boulevard, New York, New York",1219,1099,162,1414,551,2003,1430,674,1003,29,134,115,899,16,40.7332625,-73.8697005,96,0.2 km,61 m,0.2 km
"Woodlawn, New York, New York",874,436,173,512,365,1381,931,1244,701,256,271,23,998,212,40.898155,-73.8673573,87,0.9 km,58 m,2 m
"WTC Cortlandt, New York, New York",13581,7251,2341,25086,3198,229825,27033,21790,24321,24049,9711,5481,32334,221,40.7111153,-74.0122698,100,61 m,70 m,1 m
"York Street, New York, New York",12407,6715,2289,25177,3112,211902,25749,18772,24024,22527,9754,5091,29619,22,40.72914525,-73.99507565,100,0.2 km,0.2 km,57 m
"Zerega Avenue, New York, New York",903,1881,213,1064,332,611,2268,1327,502,539,35,8,640,159,40.8367792,-73.8466904,94,0.3 km,1 m,1 m
"12th Street Oakland City Center, Oakland",6454,9980,497,2392,572,24647,2850,5300,3503,13933,1316,825,7127,87,37.8034958,-122.271692,100,0.1 km,62 m,4 m
"16th Street Mission, San Francisco",6322,6178,1344,5231,4081,20964,4228,6142,6423,14192,3550,1227,7204,128,37.7647569,-122.4223632,99,0.3 km,16 m,1 m
"19th Street Oakland, Oakland",6509,8359,589,2464,676,24847,3055,7846,3600,13928,1321,799,7417,35,37.807894,-122.2688878,100,0.3 km,29 m,11 m
"24th Street Mission, San Francisco",2481,1695,453,2030,974,7285,1923,3489,3716,1274,796,150,3149,46,37.7522559,-122.418449,100,0.5 km,1 m,1 m
"Antioch, Antioch, San Francisco",564,531,767,602,35,670,347,290,664,485,244,12,584,105,39.0648291,8.4562962,81,0.2 km,0.2 km,0.2 km
"Ashby, Berkeley",919,567,385,2284,586,11273,36781,2392,2441,1798,1448,380,3189,12,37.8529812,-122.269711,95,0.5 km,9 m,9 m
"Balboa Park, San Francisco",596,267,138,317,559,1454,1289,1500,984,149,292,19,654,27,37.7214274,-122.4475473,86,0.2 km,21 m,21 m
"Bay Fair, San Leandro",475,301,278,1070,185,2000,525,1728,858,1260,140,0,474,37,37.6975821,-122.1273405,77,0.8 km,0.1 km,85 m
"Berryessa-North San José, San José",3773,1007,225,595,130,2375,472,263,488,598,48,9,320,30,37.3683499,-121.8746417,47,0.3 km,1 m,1 m
"stro Valley, Castro Valley",336,217,316,623,461,1424,619,2715,997,131,106,52,826,136,37.71573685,-122.0906318,31,1.1 km,0.8 km,0.2 km
"vic Center-UN Plaza, San Francisco",7924,7131,1970,14135,4288,69493,5874,14548,12961,18915,6234,13729,14950,22,37.7793583,-122.4139639,98,0.2 km,28 m,28 m
"liseum, Oakland",1956,1073,420,405,125,1092,691,447,407,244,67,155,891,73,37.7539702,-122.1972051,65,0.5 km,55 m,5 m
"ncord, Concord, San Francisco",728,357,596,436,251,2608,724,5959,879,991,230,12,868,38,43.259909,-2.926501019,100,0.3 km,7 m,1 m
"Daly City, Daly City",549,512,623,1066,366,9086,610,1694,1278,991,368,58,926,86,37.6904826,-122.47267,88,0.4 km,53 m,53 m
"Downtown Berkeley, Berkeley",323,174,70,608,153,739,528,9964,940,111,232,24,460,149,37.87549965,-122.2390685,16,55 m,26 m,26 m
"Dublin-Pleasanton, Dublin-Pleasanton",3491,3060,1093,1945,314,7974,445,1156,1042,730,474,321,830,20,37.7016339,-121.898299,40,1.1 km,18 m,18 m
"El Cerrito del Norte, El Cerrito",279,260,206,763,147,560,458,373,493,1147,270,25,339,29,37.9251823,-122.3169068,88,0.5 km,1 m,1 m
"El Cerrito Plaza, El Cerrito",429,113,318,665,576,1528,714,1147,1090,416,206,29,1227,447,37.899719,-122.2995487,96,0.6 km,0.2 km,5 m
"Embarcadero, San Francisco",10061,5687,327,12311,1397,157811,4830,8595,11378,5710,2763,8484,13574,46,37.79448815,-122.3996223,100,0.1 km,0.1 km,
"Fremont, Fremont, San Francisco",444,272,107,919,776,3513,876,3540,1169,1634,1256,37,543,24,37.78999325,-122.3948792,99,0.3 km,0.3 km,13 m
"Fruitvale, Oakland",2017,1290,413,956,531,1412,1294,2197,1430,224,178,15,1185,17,37.7748464,-122.224095,96,0.9 km,0.1 km,0.1 km
"Glen Park, San Francisco",764,300,129,422,678,2707,998,2210,1226,308,357,18,919,10036,37.734281,-122.4344696,89,0.1 km,62 m,93 m
"Hayward, Hayward, San Francisco",1675,1742,128,480,163,999,31,98,99,29,22,11,220,230,37.660811,-122.1539868,0,0.3 km,3.0 km,0.3 km
"Lafayette, Lafayette",1364,492,169,431,179,3785,5807,6100,1278,4001,249,40,2061,109,30.2262187,-92.0178202,90,0.2 km,0.3 km,0.1 km
"Lake Merritt, Oakland",5574,7771,513,2206,564,21383,3017,5108,3177,12979,1150,538,6306,57,37.7972157,-122.265039,96,0.2 km,19 m,4 m
"MacArthur, Oakland",2570,1312,264,2431,555,3678,761,2124,1576,102,643,174,1218,45,37.8288064,-122.267125,92,0.6 km,1 m,1 m
"Millbrae, Millbrae, San Francisco",376,259,186,267,307,2158,596,2623,1135,335,158,453,622,82,37.6121077,-122.4028702,93,0.7 km,0.1 km,16 m
"Milpitas, Milpitas, San Francisco",7116,1348,191,526,332,3350,545,1265,1056,1139,151,226,527,223,37.4332273,-121.8989248,71,19 m,0.1 km,34 m
"Montgomery Street, San Francisco",11895,6607,665,17462,1791,173671,6709,12928,16022,6911,3648,14264,17588,136,37.7892283,-122.401472,99,73 m,1 m,5 m
"North Berkeley, Berkeley",695,503,165,1862,664,10969,36334,1684,1955,1543,1411,287,2564,38,37.8708393,-122.272863,99,0.1 km,51 m,19 m
"North Concord-Martinez, Concord, San Francisco",1269,475,55,297,44,619,144,219,128,211,164,0,169,83,38.0029897,-122.0243458,32,0.3 km,32 m,5 m
"Oakland International Airport, Oakland",152,463,41,61,11,294,28,58,101,104,24,21,157,95,37.72225915,-122.2170166,1,3.7 km,1.3 km,0.1 km
"Orinda, Orinda, San Francisco",156,114,56,159,156,1326,232,527,246,145,82,22,242,81,37.0268066,-121.6006578,24,0.7 km,1.5 km,0.6 km
"Pittsburg-Bay Point, Pittsburg, San Francisco",530,173,45,295,225,141,64,42,122,33,5,16,103,81,38.0182952,-121.9451489,47,2.5 km,61 m,0.4 km
"Pittsburg Center, Pittsburg, San Francisco",530,173,45,295,225,141,64,42,122,33,5,16,103,64,40.44615455,-80.00417135,80,0.2 km,0.3 km,1 m
"Pleasant Hill-Contra Costa Centre, Walnut Creek, San Francisco",1172,548,614,1091,263,6246,876,1620,860,559,195,594,694,189,37.9191998,-122.0998915,17,1.7 km,2.4 km,0.4 km
"Powell Street, San Francisco",10171,5033,938,17178,2359,161790,7213,15463,17184,9191,4584,14785,17886,29,37.7847076,-122.4071867,99,54 m,11 m,11 m
"Richmond, Richmond",625,3293,232,373,2156,853,675,958,390,1547,389,4,938,47,37.5385087,-77.43428,93,0.5 km,0.2 km,26 m
"Rockridge, Oakland",433,627,125,553,759,2220,1572,3849,1473,13,247,136,1168,48,37.8447574,-122.2512573,98,0.8 km,1 m,1 m
"San Bruno, San Bruno",958,928,364,1438,376,4395,528,622,1727,476,508,197,753,15712,37.6261715,-122.433243,32,2.9 km,2.7 km,89 m
"San Francisco International Airport, San Mateo County",0,1495,3,16,13,627,0,21,172,64,0,221,41,24,37.6162238,-122.3915235,37,7.3 km,70 m,19 m
"San Leandro, San Leandro",874,460,393,386,493,1968,636,1567,801,525,268,7,1015,82,37.7249296,-122.1560768,98,0.3 km,71 m,
"South Hayward, Hayward",0,0,0,0,0,0,0,0,0,0,0,0,0,82,37.6344666,-122.0569501,65,0.7 km,4 m,1 m
"South San Francisco, South San Francisco",4006,4365,397,1036,1125,5528,785,1031,1291,679,229,527,1566,155,37.6535403,-122.4168664,71,0.5 km,57 m,18 m
"Union City, South San Francisco",4006,4365,397,1036,1125,5528,785,1031,1291,679,229,527,1566,88,37.6633725,-122.4181018,24,0.2 km,1.7 km,0.2 km
"Walnut Creek, Walnut Creek",898,896,1259,3621,563,12095,599,3901,2922,1644,304,258,1752,198,37.9020731,-122.0618702,97,0.4 km,47 m,4 m
"Warm Springs-South Fremont, Fremont",3135,1217,355,805,156,2493,395,309,401,10,137,77,511,31,37.5032005,-121.939803,27,1.0 km,0.1 km,0.3 km
"West Dublin-Pleasanton, Dublin-Pleasanton",2013,1847,904,3527,535,5715,872,1530,1737,435,365,266,1131,31,37.6997514,-121.9281673,54,0.6 km,6 m,6 m
"West Oakland, Oakland",1417,1282,164,631,137,1091,553,766,308,101,220,14,751,48,37.8048919,-122.2951752,84,0.4 km,1 m,1 m
"6th Avenue, Hilltop, Tacoma",167,91,120,541,96,862,1184,2986,893,20,93,10,670,70,47.25107185,-122.4569243,88,0.4 km,0.1 km,0.2 km
"Angle Lake, SeaTac, Seattle",191,1457,106,89,138,508,65,160,295,697,176,450,638,89,47.4223439,-122.297814,61,0.3 km,3 m,3 m
"Beacon Hill, Beacon Hill, Seattle",2238,1736,447,1201,764,2461,800,2988,642,362,287,184,1287,18,47.5775857,-122.30996,85,0.2 km,0.1 km,29 m
"pitol Hill, Capitol Hill, Seattle",2447,789,343,2389,1431,17150,3357,25541,4504,1048,1300,1492,3063,206,47.6238307,-122.318368,95,0.1 km,0.2 km,83 m
"lumbia City, Columbia City, Seattle",266,366,70,166,394,674,425,1115,617,42,119,14,762,319,47.5579124,-122.2852162,94,0.4 km,93 m,8 m
"nvention Center 15th St, Downtown Tacoma",2175,1780,188,1535,114,8932,680,10700,1573,9382,562,445,1827,27,47.2495,-122.438557,94,0.3 km,1 m,1 m
"International District-Chinatown, Chinatown-International District, Seattle",6120,5525,382,4091,828,46174,2891,41683,6477,14812,2860,2739,5894,48,47.5983652,-122.327994,99,0.1 km,,
"Mount Baker, Mount Baker, Seattle",462,338,97,402,293,557,574,733,313,34,127,194,954,14,47.5785522,-122.2895262,74,0.3 km,0.1 km,81 m
"Northgate, Northgate, Seattle",475,198,202,823,241,2967,691,4420,782,293,205,135,725,490,47.7131534,-122.3212307,78,0.6 km,0.3 km,0.6 km
"Othello, NewHolly, Seattle",225,204,99,120,142,482,551,680,292,147,54,0,1153,16,47.5366592,-122.2938026,48,0.8 km,84 m,19 m
"Pioneer Square, Pioneer Square, Seattle",6563,6645,355,5717,989,65115,1737,38187,8250,14950,3327,4567,6574,19,47.6027217,-122.3313539,98,0.1 km,23 m,15 m
"Rainier Beach, Rainier Beach, Seattle",324,352,51,182,108,326,329,159,194,38,86,0,141,380,47.5230762,-122.270288,86,0.3 km,89 m,89 m
"Roosevelt, Roosevelt, Seattle",359,119,120,445,515,1181,944,1019,1028,21,343,15,873,116,47.6751482,-122.3177514,97,0.2 km,82 m,1 m
"SODO, SoDo, Seattle",3845,3705,582,1807,1203,4548,407,683,1085,1053,406,37,803,28,47.5798036,-122.3272789,61,0.7 km,60 m,60 m
"South 25th, Tacoma",1217,430,294,2706,81,2642,403,7914,863,455,133,164,877,124,47.2390803,-122.434205,73,1.0 km,,
"South 4th Stadium District, Tacoma",817,155,182,901,269,1777,1130,1099,470,825,230,52,1167,380,47.2592303,-122.4539723,86,0.4 km,0.1 km,1 m
"St. Joseph, Hilltop, Tacoma",1365,138,59,196,230,834,224,676,661,2,42,57,241,36,39.74592695,-94.82222873,15,1.1 km,1.1 km,84 m
"Stadium, SoDo, Seattle",3845,3705,582,1807,1203,4548,407,683,1085,1053,406,37,803,98,47.5784609,-122.2979308,89,0.3 km,0.1 km,2 m
"Stadium District, Stadium District, Tacoma",944,211,242,646,404,3455,1031,1435,733,865,261,79,1645,23,47.2637975,-122.4504275,93,0.2 km,0.2 km,79 m
"Tacoma Dome, Tacoma",1809,1316,194,1549,29,2183,234,693,593,1211,1577,228,736,184,47.2397436,-122.4291663,62,0.6 km,64 m,26 m
"Tacoma General, Hilltop, Tacoma",2,1,7,2,15,9,7,22,5,25,0,0,2,27,47.4475673,-122.3080159,26,7.3 km,2.3 km,1 m
"Theater District, Downtown Tacoma",1673,1292,198,1199,128,8731,812,12673,1730,9276,550,413,1936,184,47.2529501,-122.439304,98,0.1 km,2 m,2 m
"Tukwila International Boulevard, Tukwila",325,955,70,163,360,889,270,169,658,160,37,148,293,113,47.474097,-122.2843505,71,0.4 km,0.2 km,0.2 km
"Union Station 19th St, Downtown Tacoma",1673,1292,198,1199,128,8731,812,12673,1730,9276,550,413,1936,239,47.2448099,-122.43662,77,0.1 km,1 m,1 m
"University of Washington, University District, Seattle",567,381,317,2496,434,25759,4103,11528,2136,169,590,392,1708,107,47.65562275,-122.3027224,77,0.4 km,0.3 km,0.1 km
"University Street, Downtown Seattle",7599,6916,382,10171,1656,77765,4555,42533,11887,14665,4011,7043,10228,283,29.7661239,-95.35963163,81,0.3 km,0.6 km,1 m
"U District, University District, Seattle",533,377,301,2547,520,25628,4170,11605,2186,117,579,392,1725,38,47.6612984,-122.3131523,99,0.3 km,1 m,1 m
"Westlake, Downtown Seattle",7120,6787,338,7560,1577,73893,4281,41945,10816,14969,3803,6806,9569,34,47.5971401,-122.3281974,99,59 m,0.1 km,0.1 km
"Boston Allston Street, Boston",680,436,737,499,551,3141,1027,3616,1688,86,230,75,1347,49,42.3486046,-71.1376139,99,0.4 km,23 m,23 m
"Boston Bellingham Square, Boston",982,1552,80,309,558,1968,721,1540,703,1015,32,233,711,642,61.13043105,-149.8475141,99,0.8 km,1.0 km,1.7 km
"Boston Chelsea, Boston",1217,1719,208,358,606,2345,767,1410,702,1075,50,243,690,67,42.3856224,-71.0222833,99,0.7 km,0.2 km,83 m
"Boston Chinatown, Boston",7990,13864,168,4869,794,154612,5198,25951,11837,16198,4398,5065,16905,257,42.3513291,-71.0626228,99,85 m,19 m,45 m
"Boston Community College, Boston",252,284,27,184,208,2245,1293,515,690,2595,89,134,500,264,42.3736234,-71.0697182,99,0.4 km,8 m,8 m
"Boston East Berkeley Street, Boston",3087,8701,130,1928,540,50601,9262,20218,6197,3387,2122,3947,8660,36,42.3446726,-71.0680628,99,0.2 km,0.2 km,0.2 km
"Boston East Berkeley Street, Boston",3185,9200,132,1959,548,53189,9294,20303,6298,3437,2223,3996,8823,289,42.3446726,-71.0680628,99,0.2 km,0.2 km,0.2 km
"Boston Fairbanks Street, Boston",255,262,57,2255,722,2268,920,1873,1111,858,222,87,1111,32,42.350675,-71.16295,99,0.5 km,0.3 km,0.4 km
"Boston Fenway, Boston",707,257,58,942,254,3259,13905,65988,2948,495,4452,435,2908,256,42.3430654,-71.0981848,99,0.3 km,0.1 km,6 m
"Boston Forest Hills, Boston",197,201,59,93,85,734,338,1178,557,137,134,0,704,320,42.2967648,-71.1119963,99,1 m,0.6 km,1 m
"Boston Hawes Street, Boston",599,342,96,2905,624,4179,10558,58091,2484,401,365,390,3133,348,42.357758,-71.056386,99,0.2 km,44 m,9 m
"Boston Herald Street, Boston",3807,10322,143,1867,566,69900,7046,17378,6900,5293,2485,4051,9193,234,42.3463115,-71.0630607,99,0.3 km,65 m,17 m
"Boston Herald Street, Boston",4117,10403,146,2096,573,77917,5842,16358,7325,5694,2554,4224,9756,137,42.3463115,-71.0630607,99,0.3 km,65 m,17 m
"Boston KendallMIT, Boston",6210,971,23,1159,59,11834,14114,2360,1908,1159,378,621,2691,99,42.3554334,-71.060511,99,0.1 km,23 m,15 m
"Boston Lechmere, Boston",4115,509,132,1424,220,6033,1469,5851,1177,1127,262,428,843,98,42.3554334,-71.060511,99,0.1 km,23 m,15 m
"Boston Lenox St, Boston",2501,1021,104,466,285,4480,9841,9729,1838,5124,546,241,2159,96,43.0834008,-75.8174111,99,4.2 km,,0.5 km
"Boston Lenox St, Boston",2266,997,99,433,275,4149,9649,9617,1789,5389,503,225,2096,95,43.0834008,-75.8174111,99,4.2 km,,0.5 km
"Boston Massachusetts Ave, Boston",3134,1250,140,673,333,6035,9229,9827,2492,5685,661,781,3003,115,42.351797,-71.0899525,99,0.4 km,0.1 km,48 m
"Boston Massachusetts Ave, Boston",3142,1255,141,681,338,6046,9229,9831,2497,5702,661,782,3009,188,42.351797,-71.0899525,99,0.4 km,0.1 km,48 m
"Boston Massachusetts Ave, Boston",1496,576,54,2485,724,27652,4457,6791,5162,3557,2435,2776,4624,67,42.351797,-71.0899525,99,0.4 km,0.1 km,48 m
